Age,Sex,Grade
30,F,A
20,M,NA
21,F,C
19,F,NA
26,F,NA
21,M,A
21,F,NA
22,F,NA
30,F,C
31,M,NA
20,M,D
22,F,NA
22,M,D
19,M,C
19,M,NA
22,F,C
23,M,NA
19,M,NA
23,M,A
34,M,E
23,M,NA
20,M,NA
35,F,E
19,M,B
21,M,A
19,M,A
19,M,NA
19,M,NA
34,M,NA
22,M,NA
19,F,NA
25,M,NA
19,M,A
19,M,NA
19,M,NA
19,M,NA
28,M,NA
20,M,C
23,M,NA
21,M,NA
23,M,B
20,F,NA
21,M,NA
20,F,C
23,M,NA
21,F,NA
27,M,NA
19,M,NA
19,M,NA
20,M,NA
20,F,A
23,F,E
20,M,NA
28,M,NA
23,M,D
38,M,A
24,F,E
19,F,B
28,F,E
21,F,E
21,M,NA
19,M,NA
23,M,NA
36,M,B
25,M,B
20,F,NA
21,M,NA
19,M,NA
19,M,NA
31,F,NA
24,M,NA
32,F,NA
21,F,B
19,M,NA
21,M,NA
23,M,NA
23,M,NA
22,F,NA
20,M,NA
19,M,A
19,M,C
25,M,NA
22,M,NA
23,M,NA
21,M,D
21,F,NA
31,F,NA
25,M,D
22,F,NA
25,M,NA
22,M,C
27,M,D
28,M,E
20,M,E
27,M,NA
27,F,D
22,M,NA
29,M,NA
38,M,NA
22,M,A
22,F,NA
31,F,NA
19,M,NA
26,F,C
24,F,D
24,F,NA
20,M,NA
21,M,C
20,M,E
20,M,NA
28,M,NA
19,M,NA
20,M,NA
23,F,NA
20,F,B
39,M,NA
21,M,NA
37,M,NA
23,M,NA
20,F,A
27,M,NA
26,F,NA
24,M,NA
22,M,NA
21,M,D
23,M,NA
27,F,NA
19,F,E
20,M,NA
19,M,C
25,M,B
22,F,C
19,M,E
24,F,C
37,F,NA
22,F,C
19,F,C
25,M,NA
33,F,NA
24,M,D
20,M,NA
22,M,NA
23,F,NA
21,M,NA
19,M,B
20,M,E
28,M,E
28,M,NA
35,M,NA
20,M,A
20,M,NA
19,M,NA
21,M,NA
25,M,A
19,M,NA
29,M,E
21,M,NA
20,M,A
33,F,NA
19,M,NA
21,M,NA
23,M,A
22,M,C
28,M,A
21,F,B
23,M,B
34,M,C
23,F,NA
20,M,NA
18,M,NA
22,M,D
23,M,NA
21,F,D
25,M,NA
23,M,C
21,M,NA
21,M,NA
20,F,NA
19,M,D
19,M,NA
23,M,NA
20,F,NA
22,M,NA
23,M,B
22,M,NA
27,F,NA
20,M,B
28,M,NA
21,F,B
23,M,NA
21,M,C
22,F,NA
24,M,C
21,M,NA
21,F,NA
20,M,NA
21,M,NA
24,F,NA
19,M,C
19,F,NA
19,M,NA
32,M,NA
21,M,NA
20,M,NA
20,M,E
19,M,NA
20,F,D
27,F,D
39,M,B
22,F,NA
21,F,NA
21,F,B
24,F,NA
30,F,NA
20,F,B
38,F,NA
21,F,NA
20,M,E
22,M,NA
19,F,B
19,M,A
35,M,NA
20,M,NA
25,M,C
20,M,NA
22,F,NA
19,M,NA
20,F,NA
20,F,C
31,M,NA
19,M,NA
27,M,NA
20,M,B
18,M,NA
37,M,C
31,M,D
19,F,NA
26,M,NA
27,F,NA
20,F,NA
39,M,NA
34,F,NA
23,M,D
21,M,NA
32,M,D
22,F,NA
23,M,D
19,M,B
19,M,B
19,M,A
19,M,NA
19,M,C
26,F,NA
21,M,NA
30,M,NA
32,M,NA
21,M,NA
21,F,E
20,F,NA
19,M,NA
26,M,NA
19,M,C
27,M,A
20,F,C
28,F,NA
20,M,B
23,M,B
32,F,NA
27,F,NA
29,M,A
24,M,NA
20,M,NA
23,F,B
19,M,NA
23,M,NA
34,M,NA
21,F,A
28,M,NA
20,F,D
26,M,B
22,M,NA
21,M,NA
22,M,A
20,M,NA
23,M,NA
19,F,D
20,M,C
20,F,B
19,M,B
36,F,NA
36,M,NA
22,M,NA
32,M,B
27,M,NA
25,M,NA
30,F,NA
37,F,NA
24,M,NA
20,M,NA
34,M,NA
26,M,D
20,M,NA
19,M,NA
20,M,E
21,F,D
33,M,C
28,F,NA
21,M,NA
26,M,C
20,F,NA
23,F,NA
25,F,D
20,M,NA
34,M,NA
22,F,C
20,F,NA
20,F,NA
19,F,NA
20,M,A
19,M,NA
28,F,NA
20,M,NA
20,M,A
20,M,NA
23,M,B
28,M,NA
22,F,NA
21,M,D
20,F,D
26,F,NA
23,M,NA
22,F,E
34,M,NA
20,M,D
20,M,A
23,F,NA
23,M,E
19,M,NA
19,F,NA
34,F,A
23,M,NA
23,M,NA
28,M,B
20,M,NA
24,F,NA
20,F,D
20,M,NA
37,F,A
22,F,NA
35,F,NA
22,F,A
20,M,A
21,M,C
30,M,NA
20,M,A
38,F,NA
20,F,NA
22,M,NA
19,M,A
24,M,NA
22,M,NA
19,M,NA
20,M,NA
21,M,NA
27,M,NA
21,M,NA
24,M,NA
19,M,NA
24,M,B
30,M,NA
19,M,E
21,F,A
25,M,NA
24,F,NA
19,M,D
26,M,NA
19,F,NA
22,M,B
28,M,A
19,M,NA
21,F,NA
19,M,NA
19,M,NA
23,F,NA
20,F,NA
36,M,NA
36,M,NA
20,M,C
24,M,NA
21,M,NA
28,M,C
24,F,NA
19,M,NA
20,F,NA
23,M,NA
22,F,NA
19,M,NA
31,F,NA
25,M,NA
24,M,NA
20,M,NA
24,M,NA
25,M,NA
33,M,NA
34,F,NA
24,M,NA
20,F,NA
25,M,NA
23,F,NA
37,F,NA
20,M,NA
30,M,NA
38,M,NA
22,M,NA
23,M,NA
25,F,NA
27,M,NA
29,M,NA
23,F,NA
26,M,NA
35,M,NA
24,M,NA
